         6225866 function calls (6187628 primitive calls) in 13.866 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      292    0.001    0.000    0.096    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axes\_base.py:3935(format_coord)
   227998    0.095    0.000    0.095    0.000 {method 'copy' of 'collections.defaultdict' objects}
528826/525390    0.078    0.000    0.094    0.000 {built-in method builtins.hash}
     1500    0.005    0.000    0.090    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\text.py:65(_get_text_metrics_with_cache)
      584    0.016    0.000    0.089    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\ticker.py:628(format_data_short)
     2409    0.008    0.000    0.089    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\transforms.py:1472(transform)
        1    0.000    0.000    0.088    0.088 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:2306(__init__)
        1    0.087    0.087    0.087    0.087 {built-in method _tkinter.create}
       12    0.000    0.000    0.081    0.007 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axis.py:2599(_update_label_position)
616111/616023    0.079    0.000    0.079    0.000 {built-in method builtins.len}
        6    0.000    0.000    0.078    0.013 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axis.py:1320(get_tightbbox)
      778    0.001    0.000    0.077    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\markers.py:225(__init__)
       86    0.000    0.000    0.076    0.001 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axis.py:1576(_copy_tick_props)
     9798    0.016    0.000    0.075    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\transforms.py:2498(composite_transform_factory)
      778    0.003    0.000    0.073    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\markers.py:306(_set_marker)
     2091    0.015    0.000    0.073    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\artist.py:1176(_update_props)
        3    0.001    0.000    0.073    0.024 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axes\_axes.py:2266(bar)
    18573    0.029    0.000    0.072    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\transforms.py:1889(__init__)
      588    0.008    0.000    0.071    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\lines.py:738(draw)
     2344    0.004    0.000    0.071    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\patches.py:880(get_bbox)
      258    0.001    0.000    0.070    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\lines.py:1336(update_from)
9247/7970    0.008    0.000    0.069    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\_api\deprecation.py:289(wrapper)
     1853    0.001    0.000    0.065    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\artist.py:1212(_internal_update)
       54    0.004    0.000    0.063    0.001 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axis.py:1270(_update_ticks)
16082/258    0.031    0.000    0.063    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\copy.py:128(deepcopy)
     3121    0.008    0.000    0.062    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\transforms.py:813(from_extents)
      214    0.002    0.000    0.062    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\backends\backend_agg.py:187(draw_text)
        1    0.000    0.000    0.062    0.062 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\figure.py:799(subplots)
        1    0.000    0.000    0.062    0.062 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\gridspec.py:264(subplots)
 1032/258    0.007    0.000    0.062    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\copy.py:227(_deepcopy_dict)
        3    0.000    0.000    0.062    0.021 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\figure.py:658(add_subplot)
     1348    0.002    0.000    0.061    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\artist.py:147(<lambda>)
        3    0.000    0.000    0.061    0.020 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axes\_base.py:569(__init__)
       62    0.001    0.000    0.061    0.001 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axes\_base.py:2376(add_patch)
